Fighter_Name,Height_cm,Weight_lbs,Reach_cm,Age,Win_Rate,Total_Fights,SLpM,Str_Acc_f,SApM,Str_Def_f,TD_Avg,TD_Acc_f,TD_Def_f,Sub_Avg
Farida Abdueva,160.0,115.0,167.6,21.6,0.8,10,4.52,0.47,4.34,0.54,0.0,0.0,0.85,0.0
Mansur Abdul-Malik,188.0,185.0,203.2,26.2,0.75,12,3.34,0.45,4.5,0.45,1.64,0.46,0.8,0.3
Akbar Abdullaev,175.3,155.0,177.8,26.3,1.0,14,8.906399999999994,0.75,0.0,0.7982999999999993,0.0,0.0,0.0,0.0
Tahir Abdullayev,172.7,170.0,185.4,26.9,0.8695652173913043,23,2.56,0.42,2.42,0.51,2.07,0.33,1.0,0.0
Loai Abushaar,177.8,155.0,182.9,27.4,0.875,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matt Adams,180.3,235.0,190.5,26.3,0.6666666666666666,9,0.0,0.0,12.814899999999998,0.27,0.0,0.0,0.0,0.0
Israel Adesanya,193.0,185.0,203.2,34.4,0.8,30,4.03,0.48,3.22,0.55,0.05,0.09,0.76,0.1
Ahejiang Ailinuer,175.3,145.0,182.9,25.3,0.8095238095238095,21,2.22,0.71,0.73,0.58,5.44,0.44,1.0,0.0
Ilimbek Akylbek,177.8,135.0,182.9,21.6,0.7857142857142857,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abdul-Kareem Al-Selwady,172.7,155.0,175.3,28.7,0.8,20,4.61,0.41,3.43,0.6,1.47,0.23,0.54,0.0
JJ Aldrich,165.1,125.0,170.2,31.3,0.6521739130434783,23,3.93,0.46,4.39,0.61,0.66,0.23,0.67,0.0
Talita Alencar,157.5,115.0,160.0,33.2,0.8,10,3.09,0.36,3.67,0.51,3.01,0.29,0.66,0.5
Nurullo Aliev,177.8,155.0,182.9,23.1,1.0,12,2.29,0.44,1.59,0.55,3.48,0.51,0.8,0.5
Kimbert Alintozon,160.0,135.0,165.1,24.9,0.6363636363636364,11,2.39,0.52,4.06,0.46,1.56,0.33,0.75,0.0
Ikram Aliskerov,182.9,185.0,193.0,31.1,0.9,20,5.56,0.6,4.01,0.45,3.82,0.68,1.0,0.7
Michael Aljarouj,165.1,125.0,167.6,26.4,0.7647058823529411,17,0.67,0.31,1.87,0.42,0.0,0.0,0.62,1.0
Arnold Allen,172.7,145.0,177.8,29.9,0.84,25,3.52,0.43,3.15,0.6,1.24,0.6,0.73,0.3
Brendan Allen,188.0,185.0,190.5,28.0,0.7941176470588235,34,3.75,0.52,3.78,0.47,1.52,0.41,0.57,1.1
Asu Almabayev,162.6,125.0,165.1,29.9,0.8888888888888888,27,2.28,0.51,1.94,0.53,4.74,0.45,0.44,1.4
Bekzat Almakhan,170.2,135.0,172.7,26.2,0.75,16,2.58,0.39,4.23,0.52,0.0,0.0,0.59,0.0
Cesar Almeida,185.4,185.0,188.0,35.8,0.7,10,3.73,0.6,2.23,0.44,0.2,0.33,0.53,0.2
Abe Alsaghir,172.7,155.0,180.3,22.5,1.0,9,3.2,0.41,5.47,0.5,0.0,0.0,0.0,1.0
Joel Alvarez,190.5,170.0,195.6,30.8,0.8214285714285714,28,4.59,0.52,4.13,0.47,0.15,0.33,0.48,0.9
Mahamed Aly,188.0,205.0,195.6,30.0,0.7142857142857143,7,5.89,0.59,11.41,0.42,0.0,0.0,0.0,0.0
Melissa Amaya,177.8,115.0,182.9,29.1,1.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hyder Amil,175.3,145.0,177.8,33.6,0.7857142857142857,14,5.83,0.52,4.04,0.5,0.52,0.16,0.65,0.8
Jaqueline Amorim,160.0,115.0,172.7,28.5,0.8461538461538461,13,2.26,0.49,2.06,0.54,2.01,0.33,0.0,4.3
Yaroslav Amosov,182.9,170.0,190.5,30.3,0.967741935483871,31,2.65,0.53,1.38,0.6,8.49,0.53,0.0,3.2
Eryk Anders,185.4,185.0,190.5,36.7,0.6666666666666666,27,3.44,0.47,4.03,0.5,1.83,0.25,0.8,0.1
Damien Anderson,172.7,145.0,175.3,27.0,0.8333333333333334,6,0.47,0.35,0.4,0.45,0.0,0.0,0.33,1.0
Pavel Andrusca,170.2,145.0,167.6,21.7,1.0,9,3.33,0.47,1.87,0.67,4.0,0.21,0.0,1.0
Magomed Ankalaev,190.5,205.0,190.5,31.6,0.88,25,3.52,0.52,2.49,0.55,0.85,0.24,0.87,0.2
Jin Aoi,170.2,145.0,170.2,26.9,0.6666666666666666,24,1.73,0.35,4.23,0.51,3.17,0.35,0.71,0.6
Aoriqileng,170.2,135.0,175.3,30.5,0.65,40,4.29,0.49,5.62,0.46,1.05,0.46,0.6,0.1
Alex Apodaca,170.2,135.0,180.3,29.5,0.8,5,3.2,0.38,2.0,0.61,0.0,0.0,0.83,0.0
Alice Ardelean,160.0,115.0,160.0,31.7,0.631578947368421,19,7.0,0.46,4.97,0.61,1.08,0.5,0.85,0.2
Nell Ariano,177.8,205.0,182.9,36.8,1.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ryoga Arimoto,160.0,125.0,160.0,25.1,0.7142857142857143,14,5.07,0.43,5.4,0.47,1.0,0.5,0.6,0.0
Lucas Armand,177.8,264.0,182.9,28.2,1.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kai Asakura,172.7,135.0,175.3,30.2,0.7931034482758621,29,3.07,0.39,3.15,0.51,0.0,0.0,0.5,0.0
Steven Asplund,195.6,260.0,198.1,25.5,0.8,10,7.88,0.53,5.25,0.48,0.0,0.0,1.0,0.4
Michael Aswell Jr.,172.7,145.0,175.3,23.3,0.7058823529411765,17,7.03,0.43,6.26,0.53,0.2,0.2,0.61,0.0
Melsik Baghdasaryan,175.3,145.0,177.8,31.9,0.6666666666666666,12,4.98,0.58,3.15,0.56,0.0,0.0,0.7,0.0
Ignacio Bahamondes,190.5,170.0,190.5,26.3,0.72,25,5.9,0.46,3.93,0.56,0.0,0.0,0.68,0.6
Gary Balletto,172.7,170.0,177.8,28.9,0.7333333333333333,15,1.24,0.33,5.73,0.4,0.0,0.0,0.0,0.0
Eros Baluyot,162.6,125.0,165.1,31.2,0.875,8,2.31,0.75,1.54,0.6,0.0,0.0,0.0,0.0
Shauna Bannon,165.1,115.0,165.1,30.2,0.7,10,3.85,0.44,3.25,0.45,0.0,0.0,0.47,0.5
Iwo Baraniewski,182.9,205.0,185.4,25.1,0.9,10,5.83,0.56,5.03,0.59,0.8,0.2,0.83,0.0
Maycee Barber,165.1,125.0,165.1,25.6,0.8333333333333334,18,4.56,0.53,2.78,0.55,1.56,0.45,0.51,0.1
Dione Barbosa,167.6,125.0,167.6,31.6,0.7142857142857143,14,2.15,0.45,2.29,0.64,2.47,0.44,0.63,2.1
Marcio Barbosa,167.6,145.0,177.8,25.6,0.9047619047619048,21,5.99,0.46,5.03,0.57,0.0,0.0,1.0,0.0
Edson Barboza,180.3,155.0,190.5,37.9,0.6153846153846154,39,4.15,0.44,4.76,0.55,0.42,0.5,0.73,0.1
Raoni Barcelos,170.2,135.0,170.2,36.7,0.8148148148148148,27,4.65,0.51,4.24,0.6,2.51,0.31,0.87,0.7
Daniel Barez,167.6,125.0,167.6,35.1,0.68,25,4.6,0.48,6.93,0.5,1.71,0.29,0.8,0.5
Farid Basharat,172.7,135.0,180.3,26.4,1.0,16,4.46,0.54,3.24,0.6,3.57,0.37,0.54,0.3
Austin Bashi,167.6,145.0,177.8,22.3,0.875,16,1.89,0.42,2.34,0.52,6.09,0.35,0.63,1.4
Namsrai Batbayar,162.6,125.0,172.7,23.0,0.8333333333333334,12,4.2,0.41,3.5,0.44,1.56,0.27,1.0,0.5
Mario Bautista,175.3,135.0,175.3,30.5,0.8571428571428571,21,5.52,0.5,4.17,0.54,2.49,0.38,0.57,1.1
Azamat Bekoev,182.9,185.0,182.9,28.0,0.8,25,4.57,0.52,6.83,0.31,3.48,0.43,0.62,0.0
Yousri Belgaroui,198.1,185.0,200.7,31.6,0.7857142857142857,14,6.44,0.63,2.28,0.63,0.27,1.0,0.66,0.0
Delphine Benouaich,160.0,115.0,160.0,28.8,0.8,10,8.906399999999994,0.58,7.69,0.63,0.0,0.0,0.0,1.6
Theodor Berggren,180.3,170.0,190.5,23.7,0.6666666666666666,12,3.49,0.35,10.78,0.33,0.0,0.0,0.0,0.0
Arlind Berisha,198.1,205.0,195.6,23.2,0.8333333333333334,6,2.99,0.6,5.98,0.37,0.0,0.0,0.0,0.0
Aieza Bertolso,177.8,115.0,182.9,22.3,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alivia Bierley,177.8,135.0,182.9,27.3,0.8,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jan Blachowicz,188.0,205.0,198.1,40.9,0.6744186046511628,43,3.53,0.5,3.23,0.51,0.97,0.48,0.7,0.4
Tina Black,162.6,115.0,160.0,27.7,0.8,20,2.4,0.32,2.87,0.64,0.0,0.0,0.76,0.0
Curtis Blaydes,193.0,265.0,203.2,32.9,0.7692307692307693,26,3.99,0.51,2.7,0.55,5.04,0.47,0.35,0.0
Gaston Bolanos,170.2,145.0,175.3,31.3,0.6428571428571429,14,3.91,0.47,3.54,0.54,0.75,0.75,0.5,0.0
Otgonbaatar Boldbaatar,165.1,125.0,170.2,21.6,0.8571428571428571,7,3.26,0.29,7.83,0.52,0.0,0.0,0.0,0.0
Gabriel Bonfim,185.4,170.0,182.9,26.4,0.9523809523809523,21,4.76,0.47,3.61,0.64,2.57,0.53,0.78,1.0
Ismael Bonfim,172.7,155.0,180.3,28.0,0.7407407407407407,27,5.1,0.54,3.96,0.62,1.22,0.33,0.76,0.0
Luca Borando,177.8,145.0,182.9,23.3,0.9,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kevin Borjas,165.1,125.0,172.7,26.1,0.6470588235294118,17,3.7,0.42,5.44,0.49,0.0,0.0,0.7,0.0
Tanner Boser,188.0,245.0,190.5,32.4,0.6470588235294118,34,4.82,0.53,3.0,0.57,0.0,0.0,0.69,0.0
Sean Brady,177.8,170.0,182.9,31.1,0.9047619047619048,21,4.08,0.53,2.77,0.59,3.58,0.51,0.86,0.8
Ramiz Brahimaj,177.8,170.0,182.9,31.1,0.65,20,2.14,0.49,3.23,0.46,1.97,0.34,0.46,1.4
Bruna Brasil,167.6,115.0,165.1,30.3,0.5789473684210527,19,2.56,0.57,3.75,0.52,1.23,0.52,0.57,0.1
Lucas Brennan,177.8,155.0,182.9,23.6,0.7857142857142857,14,0.6,0.25,2.2,0.52,0.0,0.0,0.33,1.0
Joanderson Brito,172.7,145.0,182.9,28.9,0.7692307692307693,26,2.53,0.51,2.31,0.43,3.16,0.67,0.57,1.2
Kaik Brito,182.9,170.0,188.0,26.8,0.7692307692307693,26,5.95,0.52,6.19,0.53,0.6,0.33,0.55,1.2
Randy Brown,190.5,170.0,198.1,33.5,0.7142857142857143,28,4.39,0.47,3.35,0.53,0.71,0.34,0.74,0.5
Cody Brundage,182.9,185.0,182.9,29.6,0.5454545454545454,22,2.5,0.51,2.95,0.5,1.8,0.41,0.66,0.5
Robert Bryczek,182.9,185.0,190.5,33.5,0.72,25,2.8,0.37,4.51,0.55,0.36,1.0,0.71,0.4
Marcus Buchecha,188.0,255.0,195.6,34.0,0.5555555555555556,9,1.59,0.5,2.15,0.5,2.02,0.16,0.0,0.4
Joaquin Buckley,177.8,170.0,193.0,29.7,0.7241379310344828,29,3.62,0.36,3.1,0.58,1.43,0.45,0.7,0.1
Mayra Bueno Silva,167.6,135.0,167.6,32.4,0.5555555555555556,18,3.52,0.56,4.71,0.51,0.46,0.23,0.64,1.3
Modestas Bukauskas,190.5,205.0,193.0,29.9,0.75,28,3.1,0.43,3.89,0.49,0.21,0.66,0.77,0.1
Ilias Bulaid,177.8,145.0,182.9,29.0,1.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gilbert Burns,177.8,170.0,180.3,37.5,0.6875,32,3.16,0.48,3.68,0.52,2.04,0.35,0.53,0.4
Dennis Buzukja,175.3,145.0,177.8,26.3,0.631578947368421,19,4.28,0.44,4.76,0.48,0.55,0.27,0.72,0.2
Davi Cabral de Souza,177.8,185.0,182.9,24.8,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Priscila Cachoeira,170.2,135.0,165.1,35.4,0.5909090909090909,22,4.35,0.44,7.45,0.45,0.37,0.5,0.69,0.0
Yudi Cahyadi,167.6,145.0,172.7,31.8,0.7272727272727273,11,4.8,0.62,6.72,0.48,0.0,0.0,0.0,0.0
Nicolle Caliari,160.0,115.0,160.0,27.2,0.6923076923076923,13,2.88,0.39,5.59,0.52,3.38,0.29,0.5,1.0
Matheus Camilo,177.8,155.0,175.3,23.0,0.7857142857142857,14,2.22,0.43,3.05,0.66,4.16,0.53,0.0,0.6
Kurtis Campbell,175.3,145.0,182.9,21.6,0.9,10,3.41,0.61,1.5,0.58,8.49,0.5,0.5,0.8
Jared Cannonier,180.3,185.0,195.6,39.8,0.6428571428571429,28,4.25,0.49,4.36,0.55,0.77,0.45,0.64,0.0
Gigi Canuto,157.5,115.0,162.6,21.6,0.7777777777777778,9,3.73,0.52,7.07,0.38,4.0,0.57,0.0,1.0
Ariane Carnelossi,157.5,115.0,160.0,31.1,0.75,20,2.68,0.38,4.69,0.43,1.06,0.5,0.22,0.2
Clayton Carpenter,167.6,125.0,167.6,27.6,0.7272727272727273,11,3.88,0.5,4.47,0.49,1.75,0.35,0.5,1.0
John Castaneda,167.6,135.0,180.3,32.0,0.7,30,4.95,0.51,5.07,0.54,1.49,0.37,0.75,0.1
Jacqueline Cavalcanti,172.7,135.0,177.8,26.3,0.8333333333333334,12,5.3,0.46,2.98,0.68,0.0,0.0,0.85,0.0
Igor Cavalcanti,180.3,185.0,200.7,26.2,0.875,16,5.11,0.5,3.43,0.51,2.71,0.75,0.66,0.0
Vlasto Cepo,182.9,185.0,185.4,28.9,0.7777777777777778,18,6.89,0.29,12.814899999999998,0.37,0.0,0.0,0.0,0.0
Dagiisuren Chagnaadorj,172.7,145.0,180.3,24.0,0.8571428571428571,14,2.86,0.27,3.03,0.58,4.2,0.5,1.0,0.8
Edgar Chairez,170.2,125.0,180.3,27.9,0.6666666666666666,21,3.78,0.46,4.64,0.51,0.0,0.0,0.5,1.4
Michael Chandler,172.7,155.0,180.3,37.7,0.6764705882352942,34,3.91,0.49,4.51,0.43,1.88,0.37,0.61,0.5
Chelsea Chandler,172.7,135.0,172.7,33.1,0.6363636363636364,11,3.52,0.45,4.27,0.4,0.81,0.6,0.25,0.3
Eduardo Chapolin,170.2,125.0,170.2,28.1,0.8333333333333334,18,3.46,0.41,3.38,0.57,3.38,0.6,0.84,0.0
Morgan Charriere,172.7,145.0,175.3,28.2,0.6,35,3.65,0.43,5.18,0.52,1.59,0.38,0.71,0.5
Terrance Chatman,182.9,265.0,193.0,26.7,0.7142857142857143,7,0.22,0.25,1.12,0.44,0.0,0.0,0.66,3.4
Jeisla Chaves,167.6,115.0,172.7,26.9,0.8888888888888888,9,5.02,0.54,4.49,0.53,1.42,0.37,0.62,0.5
Michael Chiesa,185.4,170.0,190.5,36.1,0.7407407407407407,27,2.02,0.4,1.73,0.57,3.11,0.47,0.65,1.0
Giga Chikadze,182.9,145.0,188.0,35.4,0.6818181818181818,22,3.75,0.43,3.55,0.59,0.18,0.33,0.65,0.2
Khamzat Chimaev,188.0,185.0,190.5,29.7,0.9375,16,4.01,0.54,2.98,0.52,5.32,0.58,0.87,1.4
Dooho Choi,177.8,145.0,177.8,32.7,0.7391304347826086,23,5.03,0.54,4.69,0.56,1.21,0.53,0.59,0.5
Levan Chokheli,180.3,170.0,182.9,27.2,0.8333333333333334,18,8.906399999999994,0.54,0.0,0.7982999999999993,0.0,0.0,0.0,0.0
Kevin Christian,198.1,205.0,203.2,28.9,0.6923076923076923,13,2.19,0.58,3.54,0.4,0.0,0.0,0.5,1.9
Sean Clancy Jr.,185.4,170.0,182.9,21.6,1.0,9,5.73,0.6,1.24,0.66,1.69,1.0,0.0,0.0
Charlie Cleveland,188.0,246.0,190.5,26.0,0.75,8,3.93,0.53,9.84,0.53,0.0,0.0,0.0,0.0
Shane Collins,175.3,145.0,180.3,23.8,1.0,8,5.07,0.55,3.87,0.34,0.0,0.0,0.44,3.0
Callum Connor,182.9,155.0,185.4,24.1,1.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alden Coria,172.7,125.0,170.2,25.7,0.8125,16,4.05,0.41,2.21,0.69,2.21,0.54,0.56,1.5
Nora Cornolle,170.2,135.0,170.2,34.1,0.7142857142857143,14,2.65,0.54,1.95,0.57,0.91,0.31,0.5,0.4
Waldo Cortes Acosta,193.0,260.0,198.1,32.2,0.8095238095238095,21,5.03,0.47,3.44,0.55,0.36,0.5,0.69,0.1
Tracy Cortez,165.1,125.0,165.1,30.1,0.75,16,3.95,0.48,3.61,0.53,2.04,0.4,0.59,0.3
Paulo Costa,185.4,205.0,182.9,32.7,0.8,20,6.15,0.59,5.96,0.49,0.3,0.42,0.77,0.0
Alessandro Costa,162.6,125.0,170.2,27.9,0.7727272727272727,22,3.77,0.46,3.71,0.57,0.7,0.26,0.87,0.7
Melquizael Costa,177.8,145.0,180.3,27.3,0.7647058823529411,34,4.29,0.47,3.19,0.5,1.53,0.35,0.5,0.8
Hailey Cowan,172.7,135.0,170.2,31.9,0.5384615384615384,13,2.72,0.41,3.12,0.41,1.8,0.37,0.8,0.0
Melissa Croden,175.3,135.0,172.7,32.7,0.7272727272727273,11,4.27,0.47,2.13,0.59,2.02,0.5,0.66,0.3
Timmy Cuamba,175.3,135.0,180.3,24.9,0.7142857142857143,14,2.88,0.42,3.72,0.55,1.18,0.31,0.71,0.0
Chris Curtis,177.8,170.0,190.5,36.5,0.7111111111111111,45,5.52,0.5,5.75,0.54,0.0,0.0,0.64,0.0
Ion Cutelaba,185.4,205.0,190.5,30.0,0.6060606060606061,33,4.13,0.43,3.42,0.46,4.02,0.51,0.76,0.3
Douglas Da Lapa,177.8,185.0,182.9,24.5,1.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adam Darby,190.5,170.0,198.1,25.1,0.8888888888888888,9,8.906399999999994,0.55,4.96,0.45,0.0,0.0,0.0,0.0
Beneil Dariush,177.8,155.0,182.9,34.7,0.71875,32,3.74,0.49,2.63,0.57,2.21,0.38,0.82,0.8
Alvi Dasuyev,182.9,170.0,185.4,21.9,1.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kyle Daukaus,188.0,185.0,193.0,30.8,0.7727272727272727,22,3.16,0.53,2.94,0.42,1.97,0.25,0.79,2.0
Mike Davis,182.9,155.0,182.9,31.2,0.75,16,4.3,0.53,4.66,0.54,2.09,0.44,0.52,0.9
Grant Dawson,177.8,155.0,182.9,29.9,0.8571428571428571,28,3.14,0.51,2.14,0.44,3.58,0.39,0.66,1.4
Reinier de Ridder,193.0,185.0,198.1,33.3,0.8461538461538461,26,3.18,0.54,2.26,0.47,2.44,0.29,0.4,0.5
Marcos Degli,167.6,125.0,170.2,23.6,0.8235294117647058,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yadier del Valle,175.3,145.0,175.3,27.4,0.9166666666666666,12,4.12,0.61,2.13,0.55,1.21,0.42,0.61,2.0
Jose Delano,172.7,145.0,177.8,27.3,0.85,20,8.43,0.64,3.5,0.68,0.0,0.0,0.75,0.0
Jose Delgado,180.3,145.0,185.4,25.7,0.8,15,5.5,0.5,3.95,0.52,1.11,0.35,0.62,0.0
Jack Della Maddalena,180.3,170.0,185.4,27.3,0.8181818181818182,22,5.32,0.51,4.24,0.61,0.34,0.2,0.64,0.1
Mackenzie Dern,162.6,115.0,160.0,30.8,0.7727272727272727,22,3.38,0.41,3.74,0.52,1.07,0.21,0.4,1.0
Robelis Despaigne,198.1,265.0,203.2,35.4,0.7777777777777778,9,2.08,0.53,2.38,0.49,0.66,1.0,0.61,0.0
Rabindra Dhant,170.2,135.0,175.3,25.1,0.9166666666666666,12,3.09,0.52,2.8,0.46,1.22,0.25,0.73,0.6
Luis Felipe Dias,177.8,185.0,188.0,29.0,0.75,24,3.36,0.44,3.02,0.56,3.36,0.57,0.66,0.8
Ozzy Diaz,193.0,185.0,200.7,33.1,0.6666666666666666,15,5.08,0.49,6.59,0.6,0.0,0.0,0.5,0.0
Juan Diaz,172.7,135.0,175.3,25.6,0.8888888888888888,18,3.72,0.41,3.4,0.59,5.5,0.5,0.0,0.8
Ding Meng,188.0,170.0,185.4,29.3,0.7608695652173914,46,3.4,0.46,3.8,0.49,0.33,0.33,0.63,0.0
Adama Diop,177.8,155.0,182.9,36.8,0.8571428571428571,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Roman Dolidze,188.0,185.0,193.0,35.5,0.7142857142857143,21,3.12,0.41,4.02,0.46,1.13,0.43,0.32,0.7
Daniil Donchenko,180.3,170.0,180.3,22.4,0.8888888888888888,18,7.14,0.61,2.14,0.73,0.37,0.25,0.66,0.0
Dong Huaxiang,160.0,115.0,160.0,25.4,0.7777777777777778,18,3.22,0.53,3.44,0.65,4.0,0.35,0.66,0.0
Stan Dorsainvil,175.3,155.0,193.0,23.6,1.0,6,8.2,0.41,9.13,0.45,2.0,0.28,0.66,0.0
Lerryan Douglas,175.3,145.0,182.9,28.7,0.7,20,6.42,0.6,4.75,0.55,0.0,0.0,0.0,0.0
Dricus Du Plessis,185.4,185.0,193.0,30.0,0.8888888888888888,27,5.21,0.48,4.24,0.54,1.9,0.48,0.5,0.6
Yuneisy Duben,162.6,125.0,165.1,27.5,0.75,8,5.65,0.52,5.31,0.42,1.68,0.5,0.5,0.0
Matthieu Duclos,190.5,185.0,193.0,28.7,0.7857142857142857,14,3.93,0.38,6.06,0.49,0.0,0.0,1.0,0.0
Sedriques Dumas,188.0,185.0,200.7,28.4,0.6666666666666666,15,1.97,0.44,2.64,0.53,1.3,0.31,0.33,0.2
Norma Dumont,170.2,135.0,170.2,33.3,0.8125,16,3.85,0.5,2.33,0.64,1.43,0.54,0.71,0.0
Chris Duncan,177.8,155.0,180.3,30.6,0.8333333333333334,18,4.83,0.45,4.57,0.5,2.92,0.4,0.55,0.6
Christian Leroy Duncan,188.0,185.0,200.7,28.4,0.8823529411764706,17,4.45,0.57,2.36,0.54,0.43,0.2,0.57,0.0
Cody Durden,170.2,125.0,170.2,32.8,0.6,30,3.27,0.44,3.89,0.51,3.82,0.48,0.56,0.6
Shanelle Dyer,167.6,115.0,165.1,22.7,0.8888888888888888,9,8.906399999999994,0.52,5.82,0.51,0.91,0.15,1.0,0.0
Christian Echols,175.3,185.0,167.6,25.6,0.6153846153846154,13,3.98,0.41,9.64,0.28,2.3,0.2,0.0,0.0
Joselyne Edwards,172.7,135.0,177.8,28.3,0.75,24,4.61,0.53,3.26,0.5,1.29,0.36,0.62,0.6
Christian Edwards,195.6,205.0,198.1,25.2,0.6153846153846154,13,2.4,0.5,2.4,0.55,0.0,0.0,0.0,0.0
Darren Elkins,177.8,145.0,180.3,39.6,0.6904761904761905,42,3.39,0.38,3.34,0.51,2.86,0.33,0.56,1.1
Tim Elliott,170.2,125.0,167.6,37.0,0.6052631578947368,38,3.55,0.42,3.05,0.56,3.69,0.45,0.59,1.0
Oban Elliott,182.9,170.0,182.9,26.0,0.7058823529411765,17,3.62,0.48,2.36,0.6,1.48,0.38,0.52,0.0
Ezra Elliott,175.3,145.0,182.9,23.6,1.0,8,0.4,0.54,0.47,0.65,8.49,0.66,1.0,3.0
Elisha Ellison,182.9,238.0,198.1,26.8,0.625,8,3.61,0.38,12.814899999999998,0.33,0.0,0.0,1.0,0.0
Jamall Emmers,177.8,145.0,188.0,34.4,0.7419354838709677,31,5.09,0.49,3.91,0.57,2.49,0.53,0.81,0.3
Josh Emmett,167.6,145.0,177.8,38.8,0.7307692307692307,26,3.67,0.35,4.52,0.59,1.07,0.36,0.43,0.1
Steve Erceg,172.7,125.0,172.7,28.4,0.7368421052631579,19,4.56,0.46,4.14,0.55,1.09,0.27,0.67,0.4
Julian Erosa,185.4,145.0,188.0,34.4,0.6888888888888889,45,6.18,0.48,6.31,0.48,1.73,0.43,0.61,0.7
Ivan Erslan,188.0,205.0,182.9,32.1,0.7142857142857143,21,2.53,0.49,4.57,0.54,0.93,0.37,0.7,0.0
Fabrizio Escarrega,175.3,155.0,188.0,25.9,0.8181818181818182,11,5.47,0.49,3.2,0.58,3.0,1.0,1.0,0.0
Ian Escuza,177.8,145.0,182.9,27.7,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rafael Estevam,172.7,135.0,175.3,27.4,0.9333333333333333,15,2.4,0.39,3.9,0.45,4.91,0.33,0.66,0.2
Salhahuddin Everett,177.8,185.0,182.9,36.8,1.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Movsar Evloev,170.2,145.0,182.9,29.9,1.0,20,3.91,0.47,2.8,0.61,4.78,0.52,0.61,0.2
Ethyn Ewing,167.6,135.0,175.3,27.9,0.8333333333333334,12,7.44,0.55,4.53,0.63,1.68,0.6,1.0,0.0
Namo Fazil,180.3,170.0,180.3,27.2,0.8333333333333334,12,8.906399999999994,0.46,10.59,0.38,0.0,0.0,0.66,0.0
Feng Xiaocan,167.6,115.0,170.2,22.2,0.6875,16,4.3,0.49,1.67,0.66,0.67,1.0,0.63,0.0
Gabriella Fernandes,167.6,125.0,167.6,30.4,0.7333333333333333,15,3.51,0.46,5.31,0.53,0.42,0.18,0.68,0.2
Kaue Fernandes,175.3,155.0,185.4,28.8,0.7857142857142857,14,4.26,0.55,1.63,0.6,1.16,1.0,0.76,0.0
Lucas Fernando,190.5,205.0,203.2,27.0,0.8235294117647058,17,3.71,0.57,3.21,0.51,1.72,0.3,0.0,0.6
Diego Ferreira,175.3,155.0,188.0,39.0,0.7407407407407407,27,4.95,0.4,3.58,0.57,1.08,0.33,0.58,0.5
Brunno Ferreira,177.8,185.0,182.9,31.2,0.75,20,3.08,0.45,3.8,0.5,0.83,0.22,0.51,0.5
Deiveson Figueiredo,165.1,135.0,172.7,36.0,0.7575757575757576,33,2.57,0.53,3.43,0.49,1.61,0.34,0.57,1.2
Anthony Figueroa,177.8,155.0,182.9,36.8,0.9,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jafel Filho,170.2,125.0,172.7,30.7,0.7727272727272727,22,1.78,0.4,1.76,0.5,2.4,0.47,0.5,1.8
Andre Fili,180.3,145.0,188.0,33.5,0.6410256410256411,39,3.89,0.37,4.55,0.49,2.24,0.46,0.71,0.2
Manon Fiorot,170.2,125.0,165.1,33.9,0.8125,16,5.57,0.4,3.76,0.65,0.94,0.29,0.87,0.0
Rafael Fiziev,172.7,155.0,180.3,30.8,0.7368421052631579,19,4.71,0.52,4.81,0.5,1.0,0.71,0.9,0.0
Darrius Flowers,175.3,155.0,180.3,29.4,0.5652173913043478,23,3.16,0.48,5.28,0.43,1.92,0.45,0.66,0.4
Carol Foro,157.5,115.0,160.0,26.8,0.9090909090909091,11,7.43,0.57,5.7,0.55,0.0,0.0,0.77,0.0
Tyrell Fortune,190.5,259.0,190.5,33.5,0.8181818181818182,22,1.91,0.49,4.31,0.5,1.72,0.42,1.0,0.0
Luis Francischinelli,177.8,170.0,182.9,27.8,0.8571428571428571,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Felipe Franco,185.4,205.0,193.0,22.9,0.8461538461538461,13,2.55,0.57,2.39,0.43,3.7,0.4,0.87,0.0
