Fighter_Name,Height_cm,Weight_lbs,Reach_cm,Age,Win_Rate,Total_Fights,SLpM,Str_Acc_f,SApM,Str_Def_f,TD_Avg,TD_Acc_f,TD_Def_f,Sub_Avg
Blair Tugman,182.9,135.0,182.9,36.8,0.625,16,2.25,0.53,0.93,0.5,7.5,0.6,0.0,0.0
Zubaira Tukhugov,172.7,155.0,172.7,33.0,0.7407407407407407,27,3.17,0.39,3.07,0.63,2.13,0.39,1.0,0.0
Teila Tuli,182.9,265.0,182.9,54.5,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nyamjargal Tumendemberel,170.2,125.0,180.3,25.8,0.9090909090909091,11,2.72,0.42,2.47,0.53,3.37,0.5,0.56,2.1
Albert Tumenov,180.3,170.0,185.4,32.0,0.8181818181818182,22,3.76,0.42,3.34,0.58,0.2,0.2,0.75,0.0
Ricky Turcios,175.3,145.0,180.3,30.6,0.6842105263157895,19,4.68,0.39,3.84,0.51,0.85,0.17,0.44,0.3
Anton Turkalj,193.0,205.0,198.1,27.6,0.6666666666666666,12,2.45,0.42,3.42,0.54,4.98,0.41,0.16,0.0
Wellington Turman,182.9,170.0,182.9,27.4,0.6923076923076923,26,3.23,0.51,4.17,0.45,1.55,0.2,0.42,0.8
Courtney Turner,188.0,170.0,182.9,36.8,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austin Tweedy,175.3,155.0,182.9,33.3,0.8,10,4.29,0.66,6.43,0.0,0.0,0.0,0.0,0.0
Raphael Uchegbu,175.3,135.0,185.4,28.4,0.8333333333333334,12,2.46,0.48,2.85,0.5,1.48,0.16,0.0,0.0
Alberto Uda,190.5,185.0,182.9,39.4,0.8571428571428571,14,1.79,0.52,3.49,0.45,2.83,0.5,0.66,0.0
Ryuki Ueyama,180.3,180.0,182.9,47.7,0.34285714285714286,35,0.13,0.21,1.4,0.46,0.5,1.0,0.0,1.5
Christian Uflacker,180.3,170.0,182.9,38.4,1.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andy Uhrich,182.9,170.0,182.9,36.8,0.6470588235294118,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tagir Ulanbekov,170.2,125.0,177.8,32.4,0.85,20,3.01,0.48,3.44,0.5,2.73,0.39,0.63,1.5
Gasan Umalatov,180.3,170.0,180.3,41.3,0.7391304347826086,23,2.23,0.39,4.1,0.59,0.75,0.17,0.9,0.0
Jeremy Umphries,177.8,160.0,182.9,36.8,0.7142857142857143,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zach Underwood,188.0,185.0,182.9,36.8,0.65,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Caol Uno,170.2,155.0,177.8,48.7,0.5789473684210527,57,1.91,0.49,1.9,0.5,1.95,0.31,0.37,0.5
Kengo Ura,175.3,165.0,182.9,42.5,0.5,28,1.05,0.37,2.38,0.48,2.85,0.28,0.5,1.4
Logan Urban,182.9,170.0,182.9,29.7,0.8333333333333334,6,2.55,0.66,12.814899999999998,0.27,0.0,0.0,0.0,0.0
Hector Urbina,180.3,170.0,185.4,36.3,0.6071428571428571,28,0.97,0.38,2.44,0.39,0.0,0.0,0.38,3.8
Elias Urbina,190.5,185.0,195.6,30.2,0.75,4,3.85,0.37,6.17,0.5,0.0,0.0,0.0,0.0
Nick Urso,167.6,125.0,167.6,38.3,0.7692307692307693,13,3.61,0.45,5.06,0.36,0.0,0.0,0.0,0.0
Yasuhiro Urushitani,165.1,125.0,182.9,47.3,0.6,35,3.47,0.39,4.71,0.65,0.0,0.0,0.8,0.0
